"candidate_id","rank","score","reasoning"
"CAND_0036676","48","0.079166","Analytics Engineer (7yrs) at PharmEasy; partial JD overlap; available in 30 days"
"CAND_0079284","49","0.07506","Machine Learning Engineer (5yrs) at Google; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0060054","50","0.073619","AI Engineer (6yrs) at Mad Street Den; partial JD overlap; available in 15 days"
"CAND_0059102","51","0.072464","Frontend Engineer (3yrs) at CRED; partial JD overlap; available in 30 days"
"CAND_0092692","52","0.067851","AI Specialist (3yrs) at Ola; partial JD overlap; available in 30 days"
"CAND_0066690","53","0.066934","ML Engineer (5yrs) at Freshworks; partial JD overlap; available in 30 days"
"CAND_0081852","54","0.066743","Senior Data Scientist (6yrs) at Mad Street Den; partial JD overlap; based in Delhi, Delhi; GitHub activity 88/100"
"CAND_0065393","55","0.065963","Senior Data Engineer (7yrs) at Zomato; partial JD overlap; available in 30 days"
"CAND_0053605","56","0.065911","Senior Software Engineer (ML) (7yrs) at Verloop.io; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0020653","57","0.061734","Analytics Engineer (5yrs) at Initech; partial JD overlap; available in 30 days; GitHub activity 73/100"
"CAND_0070152","58","0.059072","Software Engineer (9yrs) at Zomato; partial JD overlap; available in 30 days; GitHub activity 61/100"
"CAND_0026942","59","0.056408","Junior ML Engineer (6yrs) at Verloop.io; partial JD overlap; available in 30 days; GitHub activity 67/100"
"CAND_0088287","60","0.055587","Frontend Engineer (6yrs) at Acme Corp; partial JD overlap; available in 30 days; based in Delhi, Delhi"
"CAND_0050553","61","0.055556","ML Engineer (4yrs) at Zoho; partial JD overlap; available in 30 days; GitHub activity 70/100"
"CAND_0058688","62","0.053374","AI Engineer (7yrs) at Vedantu; partial JD overlap; available in 15 days"
"CAND_0026099","63","0.052606","QA Engineer (8yrs) at Globex Inc; partial JD overlap; available in 30 days"
"CAND_0052328","64","0.052458","Recommendation Systems Engineer (6yrs) at Amazon; partial JD overlap; available in 30 days; based in Pune, Maharashtra; GitHub activity 78/100"
"CAND_0007009","65","0.048436","Recommendation Systems Engineer (8yrs) at Wysa; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh; GitHub activity 69/100"
"CAND_0011687","66","0.045771","Senior NLP Engineer (8yrs) at Niramai; partial JD overlap; available in 15 days; based in Indore, Madhya Pradesh, not open to relocation; GitHub activity 76/100; overlaps JD's exclusion language on landed, move"
"CAND_0063622","67","0.044325","Computer Vision Engineer (5yrs) at Niramai; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0022479","68","0.043802","Analytics Engineer (8yrs) at Meesho; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra"
"CAND_0064858","69","0.03956","Mobile Developer (4yrs) at Globex Inc; partial JD overlap; available in 30 days"
"CAND_0064609","70","0.039558","Senior Software Engineer (7yrs) at Dunder Mifflin; partial JD overlap; available in 30 days"
"CAND_0039587","71","0.035549","Data Engineer (6yrs) at HCL; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra; GitHub activity 68/100"
"CAND_0048219","72","0.035068","Computer Vision Engineer (5yrs) at Yellow.ai; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra"
"CAND_0050454","73","0.032877","AI Engineer (7yrs) at Rephrase.ai; partial JD overlap; available in 30 days; based in Delhi, Delhi"
"CAND_0008712","74","0.030826","Java Developer (7yrs) at Cognizant; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0074024","75","0.030443","AI Specialist (4yrs) at Haptik; partial JD overlap; available in 30 days; based in Delhi, Delhi"
"CAND_0029413","76","0.028977","Data Analyst (3yrs) at Globex Inc; partial JD overlap; available in 30 days"
"CAND_0091745","77","0.027693","Junior ML Engineer (6yrs) at Locobuzz; partial JD overlap; available in 30 days; based in Pune, Maharashtra"
"CAND_0062096","78","0.027368","Senior Software Engineer (8yrs) at Vedantu; partial JD overlap; available in 30 days"
"CAND_0066999","79","0.024536","Recommendation Systems Engineer (6yrs) at Microsoft; partial JD overlap; available in 15 days; based in Delhi, Delhi; GitHub activity 94/100"
"CAND_0011525","80","0.022386","DevOps Engineer (5yrs) at Mphasis; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0082067","81","0.021797","Java Developer (7yrs) at CRED; partial JD overlap; available in 30 days"
"CAND_0008239","82","0.020406","AI Engineer (4yrs) at Apple; partial JD overlap; available in 15 days"
"CAND_0015967","83","0.015964","Senior Software Engineer (ML) (5yrs) at Razorpay; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0032113","84","0.015027","Analytics Engineer (4yrs) at Meesho; partial JD overlap; available in 30 days"
"CAND_0062247","85","0.014761","AI Engineer (7yrs) at Google; partial JD overlap; available in 30 days"
"CAND_0060120","86","0.014642",".NET Developer (8yrs) at Globex Inc; partial JD overlap; available in 30 days"
"CAND_0088089","87","0.014553","Analytics Engineer (6yrs) at Tech Mahindra; partial JD overlap; available in 30 days"
"CAND_0031842","88","0.014387","AI Specialist (4yrs) at Ola; partial JD overlap; available in 30 days; based in Hyderabad, Telangana"
"CAND_0078492","89","0.012926","Recommendation Systems Engineer (5yrs) at Verloop.io; partial JD overlap; available in 30 days"
"CAND_0079370","90","0.012144","Senior Software Engineer (7yrs) at Mindtree; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra; GitHub activity 63/100"
"CAND_0087406","91","0.012042","Senior Data Engineer (5yrs) at Hooli; partial JD overlap; available in 30 days"
"CAND_0012038","92","0.011708","Java Developer (6yrs) at Zomato; partial JD overlap; available in 30 days"
"CAND_0018888","93","0.009828","AI Research Engineer (6yrs) at Razorpay; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0023230","94","0.009771","Java Developer (4yrs) at Globex Inc; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra"
"CAND_0021643","95","0.008376","Mechanical Engineer (4yrs) at Wayne Enterprises; partial JD overlap; available in 30 days"
"CAND_0032279","96","0.008111","Java Developer (7yrs) at Flipkart; partial JD overlap; available in 30 days; based in Pune, Maharashtra"
"CAND_0054409","97","0.007018","Data Engineer (7yrs) at Freshworks; partial JD overlap; available in 30 days; based in Mumbai, Maharashtra"
"CAND_0098074","98","0.003402","Backend Engineer (4yrs) at Razorpay; partial JD overlap; available in 30 days; based in Noida, Uttar Pradesh"
"CAND_0015522","99","0.003032","Backend Engineer (2yrs) at PhonePe; partial JD overlap; available in 30 days"
"CAND_0020463","100","0.0","Data Engineer (5yrs) at Ola; partial JD overlap; available in 30 days; based in Pune, Maharashtra"
